station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
29.0, 29.0, 0.0, 2010-01-01 00:00:00, 3.0, 7.5, 0.0
1.0, 1.0, 0.0, 2010-01-02 00:00:00, 4.0, 8.0, 0.0
17.6, 17.6, 0.0, 2010-01-03 00:00:00, 1.5, 6.0, 0.0
19.2, 19.2, 0.0, 2010-01-04 00:00:00, 3.0, 6.0, 0.0
4.6, 4.6, 0.0, 2010-01-05 00:00:00, 5.0, 7.0, 0.0
0.0, 0.0, 0.0, 2010-01-06 00:00:00, 1.0, 4.0, 0.0
3.0, 3.0, 0.0, 2010-01-07 00:00:00, -1.0, 4.0, 0.0
11.7, 11.7, 0.0, 2010-01-08 00:00:00, 0.0, 7.0, 0.0
2.5, 2.5, 0.0, 2010-01-09 00:00:00, 4.0, 9.0, 0.0
24.6, 24.6, 0.0, 2010-01-10 00:00:00, 4.0, 8.0, 0.0
10.8, 10.8, 0.0, 2010-01-11 00:00:00, 6.0, 9.5, 0.0
5.2, 5.2, 0.0, 2010-01-12 00:00:00, 7.0, 9.5, 0.0
0.8, 0.8, 0.0, 2010-01-13 00:00:00, 7.0, 8.5, 0.0
39.0, 39.0, 0.0, 2010-01-14 00:00:00, 5.5, 7.0, 0.0
8.8, 8.8, 0.0, 2010-01-15 00:00:00, 6.0, 7.0, 0.0
1.6, 1.6, 0.0, 2010-01-16 00:00:00, 0.0, 5.5, 0.0
1.4, 1.4, 0.0, 2010-01-17 00:00:00, 1.0, 8.0, 0.0
0.2, 0.2, 0.0, 2010-01-18 00:00:00, 3.0, 8.5, 0.0
0.0, 0.0, 0.0, 2010-01-19 00:00:00, 4.0, 9.5, 0.0
0.0, 0.0, 0.0, 2010-01-20 00:00:00, 4.0, 9.0, 0.0
0.0, 0.0, 0.0, 2010-01-21 00:00:00, 4.0, 9.0, 0.0
0.0, 0.0, 0.0, 2010-01-22 00:00:00, 2.0, 7.5, 0.0
0.0, 0.0, 0.0, 2010-01-23 00:00:00, 1.0, 7.5, 0.0
7.0, 7.0, 0.0, 2010-01-24 00:00:00, 3.0, 6.0, 0.0
0.0, 0.0, 0.0, 2010-01-25 00:00:00, 4.0, 9.0, 0.0
0.4, 0.4, 0.0, 2010-01-26 00:00:00, 2.0, 7.5, 0.0
0.0, 0.0, 0.0, 2010-01-27 00:00:00, 2.0, 6.5, 0.0
4.0, 4.0, 0.0, 2010-01-28 00:00:00, 4.5, 6.5, 0.0
3.6, 3.6, 0.0, 2010-01-29 00:00:00, 4.5, 8.0, 0.0
3.6, 3.6, 0.0, 2010-01-30 00:00:00, 6.0, 7.5, 0.0
0.0, 0.0, 0.0, 2010-01-31 00:00:00, 5.0, 9.0, 0.0
5.4, 5.4, 0.0, 2010-02-01 00:00:00, 5.0, 7.0, 0.0
0.0, 0.0, 0.0, 2010-02-02 00:00:00, 6.0, 7.5, 0.0
1.0, 1.0, 0.0, 2010-02-03 00:00:00, 6.5, 6.5, 0.0
1.2, 1.2, 0.0, 2010-02-04 00:00:00, 4.0, 8.5, 0.0
0.0, 0.0, 0.0, 2010-02-05 00:00:00, 5.0, 9.0, 0.0
1.4, 1.4, 0.0, 2010-02-06 00:00:00, 3.5, 8.0, 0.0
1.6, 1.6, 0.0, 2010-02-07 00:00:00, 3.5, 8.0, 0.0
0.2, 0.2, 0.0, 2010-02-08 00:00:00, 5.5, 7.5, 0.0
0.0, 0.0, 0.0, 2010-02-09 00:00:00, 1.0, 6.0, 0.0
2.0, 2.0, 0.0, 2010-02-10 00:00:00, 0.5, 6.0, 0.0
2.0, 2.0, 0.0, 2010-02-11 00:00:00, 4.0, 8.5, 0.0
5.0, 5.0, 0.0, 2010-02-12 00:00:00, 5.0, 8.5, 0.0
7.0, 7.0, 0.0, 2010-02-13 00:00:00, 4.5, 8.0, 0.0
0.0, 0.0, 0.0, 2010-02-14 00:00:00, 5.0, 10.0, 0.0
7.0, 7.0, 0.0, 2010-02-15 00:00:00, 1.5, 7.5, 0.0
0.0, 0.0, 0.0, 2010-02-16 00:00:00, 5.0, 9.5, 0.0
0.0, 0.0, 0.0, 2010-02-17 00:00:00, -0.5, 8.5, 0.0
0.0, 0.0, 0.0, 2010-02-18 00:00:00, 2.0, 9.5, 0.0
0.0, 0.0, 0.0, 2010-02-19 00:00:00, 0.0, 10.0, 0.0
0.0, 0.0, 0.0, 2010-02-20 00:00:00, 0.0, 9.5, 0.0
0.0, 0.0, 0.0, 2010-02-21 00:00:00, -1.0, 9.5, 0.0
0.5, 0.5, 0.0, 2010-02-22 00:00:00, -1.0, 9.0, 0.0
8.4, 8.4, 0.0, 2010-02-23 00:00:00, -1.0, 6.5, 0.0
8.0, 8.0, 0.0, 2010-02-24 00:00:00, 4.5, 8.5, 0.0
