station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
6.2, None, None, 2010-01-28 00:00:00, 6.1, 11.6, None
6.0, None, None, 2010-01-29 00:00:00, 7.6, 11.9, None
5.6, None, None, 2010-01-30 00:00:00, 7.6, 9.6, None
3.2, None, None, 2010-01-31 00:00:00, 6.6, 9.2, None
4.8, None, None, 2010-02-01 00:00:00, 6.1, 7.8, None
5.4, None, None, 2010-02-02 00:00:00, 6.0, 8.4, None
0.8, None, None, 2010-02-03 00:00:00, 6.0, 8.4, None
1.4, None, None, 2010-02-04 00:00:00, 6.3, 11.4, None
14.4, None, None, 2010-02-05 00:00:00, 8.2, 10.5, None
21.0, None, None, 2010-02-06 00:00:00, 6.6, 11.4, None
5.2, None, None, 2010-02-07 00:00:00, 6.1, 9.1, None
2.6, None, None, 2010-02-08 00:00:00, 5.6, 8.7, None
2.0, None, None, 2010-02-09 00:00:00, 4.0, 7.7, None
11.6, None, None, 2010-02-10 00:00:00, 4.9, 7.4, None
24.6, None, None, 2010-02-11 00:00:00, 6.8, 9.7, None
13.8, None, None, 2010-02-12 00:00:00, 6.5, 9.4, None
60.8, None, None, 2010-02-13 00:00:00, 6.9, 9.6, None
1.6, None, None, 2010-02-14 00:00:00, 3.9, 11.2, None
6.8, None, None, 2010-02-15 00:00:00, 3.0, 10.1, None
3.0, None, None, 2010-02-16 00:00:00, 3.7, 10.9, None
0.0, None, None, 2010-02-17 00:00:00, 0.9, 11.3, None
0.2, None, None, 2010-02-18 00:00:00, 1.7, 11.1, None
0.0, None, None, 2010-02-19 00:00:00, 1.8, 11.2, None
0.0, None, None, 2010-02-20 00:00:00, 1.7, 11.0, None
0.2, None, None, 2010-02-21 00:00:00, 2.3, 11.2, None
0.0, None, None, 2010-02-22 00:00:00, 0.8, 10.7, None
7.4, None, None, 2010-02-23 00:00:00, 6.2, 9.6, None
11.8, None, None, 2010-02-24 00:00:00, 6.6, 10.3, None
7.6, None, None, 2010-02-25 00:00:00, 6.6, 10.3, None
9.4, None, None, 2010-02-26 00:00:00, 6.8, 12.4, None
5.6, None, None, 2010-02-27 00:00:00, 7.1, 10.3, None
0.8, None, None, 2010-02-28 00:00:00, 7.5, 9.3, None
8.6, None, None, 2010-03-01 00:00:00, 8.4, 10.7, None
20.2, None, None, 2010-03-02 00:00:00, 6.0, 9.3, None
0.2, None, None, 2010-03-03 00:00:00, 3.3, 10.9, None
13.4, None, None, 2010-03-04 00:00:00, 3.6, 8.3, None
3.4, None, None, 2010-03-05 00:00:00, 5.2, 12.6, None
0.2, None, None, 2010-03-06 00:00:00, 3.0, 11.0, None
13.2, None, None, 2010-03-07 00:00:00, 4.3, 8.5, None
0.2, None, None, 2010-03-08 00:00:00, 0.9, 8.0, None
29.8, None, None, 2010-03-09 00:00:00, 1.8, 6.5, None
22.0, None, None, 2010-03-10 00:00:00, 0.4, 6.6, None
17.4, None, None, 2010-03-11 00:00:00, 1.9, 8.4, None
17.4, None, None, 2010-03-12 00:00:00, 0.4, 6.4, None
8.4, None, None, 2010-03-13 00:00:00, 2.8, 8.0, None
36.4, None, None, 2010-03-14 00:00:00, 3.9, 7.0, None
15.4, None, None, 2010-03-15 00:00:00, 5.5, 8.9, None
32.6, None, None, 2010-03-16 00:00:00, 7.2, 9.4, None
0.6, None, None, 2010-03-17 00:00:00, 3.7, 9.7, None
0.0, None, None, 2010-03-18 00:00:00, 0.4, 9.0, None
0.0, None, None, 2010-03-19 00:00:00, 1.2, 10.6, None
6.2, None, None, 2010-03-20 00:00:00, 1.4, 12.7, None
5.8, None, None, 2010-03-21 00:00:00, 5.8, 11.5, None
3.2, None, None, 2010-03-22 00:00:00, 5.5, 9.2, None
0.0, None, None, 2010-03-23 00:00:00, 5.0, 10.0, None
0.0, None, None, 2010-03-24 00:00:00, 3.6, 12.2, None
10.0, None, None, 2010-03-25 00:00:00, 6.7, 10.0, None
2.0, None, None, 2010-03-26 00:00:00, 6.3, 10.4, None
11.4, None, None, 2010-03-27 00:00:00, 7.1, 11.7, None
28.0, None, None, 2010-03-28 00:00:00, 4.9, 9.6, None
11.8, None, None, 2010-03-29 00:00:00, 5.4, 9.2, None
4.0, None, None, 2010-03-30 00:00:00, 2.9, 8.3, None
4.6, None, None, 2010-03-31 00:00:00, 2.2, 8.6, None
29.4, None, None, 2010-04-01 00:00:00, 3.5, 7.1, None
34.8, None, None, 2010-04-02 00:00:00, 4.8, 7.4, None
3.0, None, None, 2010-04-03 00:00:00, 4.3, 8.4, None
17.8, None, None, 2010-04-04 00:00:00, 2.9, 10.7, None
1.6, None, None, 2010-04-05 00:00:00, 2.9, 9.4, None
8.6, None, None, 2010-04-06 00:00:00, 3.9, 9.2, None
35.0, None, None, 2010-04-07 00:00:00, 4.4, 8.7, None
8.2, None, None, 2010-04-08 00:00:00, 2.4, 6.3, None
1.6, None, None, 2010-04-09 00:00:00, 0.5, 8.3, None
0.0, None, None, 2010-04-10 00:00:00, 0.9, 13.3, None
0.0, None, None, 2010-04-11 00:00:00, 3.1, 11.8, None
0.0, None, None, 2010-04-12 00:00:00, 4.9, 12.7, None
0.0, None, None, 2010-04-13 00:00:00, 5.1, 12.5, None
0.0, None, None, 2010-04-14 00:00:00, 5.0, 11.9, None
1.4, None, None, 2010-04-15 00:00:00, 5.1, 11.2, None
0.0, None, None, 2010-04-16 00:00:00, 6.1, 12.1, None
11.0, None, None, 2010-04-17 00:00:00, 6.9, 10.4, None
5.2, None, None, 2010-04-18 00:00:00, 8.4, 12.3, None
21.2, None, None, 2010-04-19 00:00:00, 8.9, 12.0, None
9.8, None, None, 2010-04-20 00:00:00, 7.9, 10.1, None
0.0, None, None, 2010-04-21 00:00:00, 5.6, 11.7, None
0.0, None, None, 2010-04-22 00:00:00, 7.9, 11.6, None
16.6, None, None, 2010-04-23 00:00:00, 5.7, 8.7, None
4.4, None, None, 2010-04-24 00:00:00, 4.8, 11.0, None
5.6, None, None, 2010-04-25 00:00:00, 6.3, 11.1, None
26.8, None, None, 2010-04-26 00:00:00, 7.9, 13.1, None
17.0, None, None, 2010-04-27 00:00:00, 6.8, 9.6, None
4.6, None, None, 2010-04-28 00:00:00, 5.3, 11.3, None
0.0, None, None, 2010-04-29 00:00:00, 4.0, 12.5, None
3.6, None, None, 2010-04-30 00:00:00, 6.0, 10.1, None
1.4, None, None, 2010-05-01 00:00:00, 6.5, 11.3, None
27.0, None, None, 2010-05-02 00:00:00, 5.6, 9.1, None
0.8, None, None, 2010-05-03 00:00:00, 6.0, 9.2, None
None, None, None, 2010-05-04 00:00:00, 2.7, 9.0, None
0.0, None, None, 2010-05-05 00:00:00, 1.9, 13.0, None
0.0, None, None, 2010-05-06 00:00:00, 5.9, 11.9, None
0.0, None, None, 2010-05-07 00:00:00, 4.2, 13.3, None
0.0, None, None, 2010-05-08 00:00:00, 5.0, 13.4, None
None, None, None, 2010-05-09 00:00:00, 5.8, 10.5, None
0.0, None, None, 2010-05-10 00:00:00, 6.7, 13.7, None
0.0, None, None, 2010-05-11 00:00:00, 6.5, 13.6, None
0.0, None, None, 2010-05-12 00:00:00, 7.5, 11.9, None
0.0, None, None, 2010-05-13 00:00:00, 6.6, 14.1, None
0.0, None, None, 2010-05-14 00:00:00, 7.0, 12.3, None
0.0, None, None, 2010-05-15 00:00:00, 9.1, 11.7, None
0.0, None, None, 2010-05-16 00:00:00, 9.0, 13.1, None
1.2, None, None, 2010-05-17 00:00:00, 8.5, 15.6, None
8.8, None, None, 2010-05-18 00:00:00, 9.6, 12.9, None
None, None, None, 2010-05-19 00:00:00, 8.5, 15.0, None
None, None, None, 2010-05-20 00:00:00, 8.5, None, None
7.0, None, None, 2010-05-21 00:00:00, 5.3, 11.5, None
0.0, None, None, 2010-05-22 00:00:00, 4.8, 12.5, None
0.4, None, None, 2010-05-23 00:00:00, 6.4, 12.3, None
21.4, None, None, 2010-05-24 00:00:00, 8.4, 9.5, None
2.8, None, None, 2010-05-25 00:00:00, 8.9, 13.2, None
4.4, None, None, 2010-05-26 00:00:00, 9.6, 13.3, None
1.8, None, None, 2010-05-27 00:00:00, 10.2, 14.3, None
0.0, None, None, 2010-05-28 00:00:00, 10.3, 12.0, None
0.0, None, None, 2010-05-29 00:00:00, 9.6, 13.1, None
11.6, None, None, 2010-05-30 00:00:00, 8.4, 11.3, None
11.0, None, None, 2010-05-31 00:00:00, 10.6, 12.1, None
14.2, None, None, 2010-06-01 00:00:00, 9.8, 11.4, None
45.0, None, None, 2010-06-02 00:00:00, 8.3, 12.6, None
3.6, None, None, 2010-06-03 00:00:00, 7.6, 12.7, None
0.4, None, None, 2010-06-04 00:00:00, 6.9, 13.9, None
5.0, None, None, 2010-06-05 00:00:00, 9.9, 14.8, None
0.2, None, None, 2010-06-06 00:00:00, 9.0, 14.7, None
0.0, None, None, 2010-06-07 00:00:00, 11.3, 15.1, None
0.4, None, None, 2010-06-08 00:00:00, 10.4, 15.4, None
5.4, None, None, 2010-06-09 00:00:00, 11.1, 12.7, None
0.8, None, None, 2010-06-10 00:00:00, 11.1, 14.4, None
1.8, None, None, 2010-06-11 00:00:00, 10.2, 14.0, None
3.0, None, None, 2010-06-12 00:00:00, 8.9, 14.8, None
0.2, None, None, 2010-06-13 00:00:00, 10.3, 13.7, None
0.0, None, None, 2010-06-14 00:00:00, 9.8, 13.4, None
0.0, None, None, 2010-06-15 00:00:00, 7.3, 15.1, None
0.0, None, None, 2010-06-16 00:00:00, 8.4, 14.7, None
0.0, None, None, 2010-06-17 00:00:00, 10.1, 13.8, None
0.0, None, None, 2010-06-18 00:00:00, 10.9, 14.2, None
0.0, None, None, 2010-06-19 00:00:00, 9.2, 14.9, None
0.0, None, None, 2010-06-20 00:00:00, 10.5, 12.9, None
0.0, None, None, 2010-06-21 00:00:00, 11.0, 14.9, None
0.0, None, None, 2010-06-22 00:00:00, 10.5, 15.9, None
4.2, None, None, 2010-06-23 00:00:00, 10.6, 14.7, None
None, None, None, 2010-06-24 00:00:00, 11.2, 13.7, None
0.0, None, None, 2010-06-25 00:00:00, 11.6, 15.4, None
1.0, None, None, 2010-06-26 00:00:00, 10.9, 14.2, None
2.2, None, None, 2010-06-27 00:00:00, 9.5, 13.8, None
7.0, None, None, 2010-06-28 00:00:00, 7.5, 13.9, None
3.0, None, None, 2010-06-29 00:00:00, 8.8, 14.0, None
1.4, None, None, 2010-06-30 00:00:00, 8.6, 15.1, None
0.8, None, None, 2010-07-01 00:00:00, 9.3, 15.6, None
0.0, None, None, 2010-07-02 00:00:00, 9.3, 15.7, None
0.0, None, None, 2010-07-03 00:00:00, 11.7, 15.6, None
1.6, None, None, 2010-07-04 00:00:00, 11.8, 15.1, None
0.0, None, None, 2010-07-05 00:00:00, 11.2, 16.7, None
0.0, None, None, 2010-07-06 00:00:00, 9.8, 18.0, None
0.0, None, None, 2010-07-07 00:00:00, 12.1, 22.7, None
0.0, None, None, 2010-07-08 00:00:00, 14.0, 22.1, None
0.0, None, None, 2010-07-09 00:00:00, 13.0, 18.1, None
0.0, None, None, 2010-07-10 00:00:00, 12.4, 16.8, None
0.0, None, None, 2010-07-11 00:00:00, 11.5, 15.5, None
0.0, None, None, 2010-07-12 00:00:00, 10.4, 13.5, None
0.0, None, None, 2010-07-13 00:00:00, 10.4, 15.7, None
0.0, None, None, 2010-07-14 00:00:00, 9.5, 15.2, None
0.0, None, None, 2010-07-15 00:00:00, 10.6, 16.3, None
0.0, None, None, 2010-07-16 00:00:00, 10.1, 15.7, None
0.0, None, None, 2010-07-17 00:00:00, 8.7, 14.0, None
0.0, None, None, 2010-07-18 00:00:00, 8.9, 14.9, None
0.0, None, None, 2010-07-19 00:00:00, 10.1, 14.2, None
0.0, None, None, 2010-07-20 00:00:00, 10.7, 14.2, None
0.0, None, None, 2010-07-21 00:00:00, 10.6, 15.8, None
0.0, None, None, 2010-07-22 00:00:00, 11.2, 14.4, None
0.0, None, None, 2010-07-23 00:00:00, 10.1, 15.0, None
0.0, None, None, 2010-07-24 00:00:00, 11.1, 17.1, None
0.0, None, None, 2010-07-25 00:00:00, 9.7, 17.8, None
0.0, None, None, 2010-07-26 00:00:00, 10.3, 17.4, None
0.0, None, None, 2010-07-27 00:00:00, 10.5, 13.3, None
0.0, None, None, 2010-07-28 00:00:00, 10.7, 14.2, None
0.0, None, None, 2010-07-29 00:00:00, 10.2, 14.0, None
0.4, None, None, 2010-07-30 00:00:00, 9.0, 14.6, None
0.0, None, None, 2010-07-31 00:00:00, 10.5, 14.2, None
0.2, None, None, 2010-08-01 00:00:00, 11.0, 14.7, None
0.2, None, None, 2010-08-02 00:00:00, 11.3, 16.4, None
0.0, None, None, 2010-08-03 00:00:00, 11.0, 13.2, None
0.0, None, None, 2010-08-04 00:00:00, 10.0, 13.7, None
0.0, None, None, 2010-08-05 00:00:00, 10.9, 13.2, None
0.6, None, None, 2010-08-06 00:00:00, 11.7, 15.4, None
18.0, None, None, 2010-08-07 00:00:00, 12.3, 14.5, None
0.0, None, None, 2010-08-08 00:00:00, 11.9, 15.4, None
0.0, None, None, 2010-08-09 00:00:00, 10.6, 17.0, None
0.0, None, None, 2010-08-10 00:00:00, 11.4, 14.7, None
0.2, None, None, 2010-08-11 00:00:00, 11.1, 14.1, None
0.0, None, None, 2010-08-12 00:00:00, 10.5, 14.0, None
0.0, None, None, 2010-08-13 00:00:00, 8.8, 19.6, None
0.0, None, None, 2010-08-14 00:00:00, 14.0, 26.8, None
0.0, None, None, 2010-08-15 00:00:00, 15.4, 22.8, None
0.0, None, None, 2010-08-16 00:00:00, 12.5, 17.3, None
0.0, None, None, 2010-08-17 00:00:00, 11.4, 13.9, None
0.0, None, None, 2010-08-18 00:00:00, 11.4, 15.2, None
0.0, None, None, 2010-08-19 00:00:00, 12.5, 16.3, None
0.0, None, None, 2010-08-20 00:00:00, 9.9, 16.5, None
3.4, None, None, 2010-08-21 00:00:00, 11.1, 15.1, None
0.2, None, None, 2010-08-22 00:00:00, 11.7, 16.2, None
0.0, None, None, 2010-08-23 00:00:00, 8.7, 16.1, None
0.0, None, None, 2010-08-24 00:00:00, 10.4, 17.9, None
0.0, None, None, 2010-08-25 00:00:00, 12.7, 16.9, None
0.2, None, None, 2010-08-26 00:00:00, 12.3, 16.5, None
0.4, None, None, 2010-08-27 00:00:00, 11.8, 17.0, None
0.0, None, None, 2010-08-28 00:00:00, 9.8, 16.8, None
0.0, None, None, 2010-08-29 00:00:00, 10.3, 14.7, None
3.8, None, None, 2010-08-30 00:00:00, 9.3, 14.8, None
29.0, None, None, 2010-08-31 00:00:00, 11.6, 14.5, None
0.6, None, None, 2010-09-01 00:00:00, 9.2, 15.2, None
0.0, None, None, 2010-09-02 00:00:00, 13.1, 17.3, None
0.0, None, None, 2010-09-03 00:00:00, 12.7, 17.3, None
0.0, None, None, 2010-09-04 00:00:00, 11.9, 14.9, None
3.2, None, None, 2010-09-05 00:00:00, 11.2, 14.2, None
6.2, None, None, 2010-09-06 00:00:00, 11.0, 13.8, None
0.0, None, None, 2010-09-07 00:00:00, 11.1, 14.2, None
0.0, None, None, 2010-09-08 00:00:00, 8.5, 13.5, None
0.4, None, None, 2010-09-09 00:00:00, 11.0, 13.7, None
0.0, None, None, 2010-09-10 00:00:00, 11.2, 14.3, None
30.0, None, None, 2010-09-11 00:00:00, 10.6, 12.5, None
11.0, None, None, 2010-09-12 00:00:00, 11.5, 13.9, None
0.0, None, None, 2010-09-13 00:00:00, 11.5, 14.7, None
0.6, None, None, 2010-09-14 00:00:00, 12.0, 15.4, None
None, None, None, 2010-09-15 00:00:00, 12.2, 21.3, None
None, None, None, 2010-09-16 00:00:00, 12.5, 16.7, None
0.2, None, None, 2010-09-17 00:00:00, 11.8, 16.4, None
5.6, None, None, 2010-09-18 00:00:00, 13.7, 16.0, None
27.8, None, None, 2010-09-19 00:00:00, 13.2, 14.3, None
0.8, None, None, 2010-09-20 00:00:00, 10.8, 15.6, None
0.2, None, None, 2010-09-21 00:00:00, 9.4, 15.3, None
0.0, None, None, 2010-09-22 00:00:00, 9.6, 13.8, None
22.2, None, None, 2010-09-23 00:00:00, 10.2, 14.9, None
42.4, None, None, 2010-09-24 00:00:00, 11.8, 13.6, None
57.8, None, None, 2010-09-25 00:00:00, 12.8, 13.9, None
0.8, None, None, 2010-09-26 00:00:00, 12.1, 13.6, None
10.0, None, None, 2010-09-27 00:00:00, 13.2, 14.4, None
3.6, None, None, 2010-09-28 00:00:00, 12.0, 15.6, None
0.2, None, None, 2010-09-29 00:00:00, 9.5, 15.0, None
0.2, None, None, 2010-09-30 00:00:00, 8.2, 18.1, None
0.0, None, None, 2010-10-01 00:00:00, 9.1, 15.5, None
0.2, None, None, 2010-10-02 00:00:00, 11.1, 15.3, None
0.2, None, None, 2010-10-03 00:00:00, 8.4, 15.1, None
2.6, None, None, 2010-10-04 00:00:00, 8.2, 13.6, None
0.0, None, None, 2010-10-05 00:00:00, 6.8, 14.3, None
0.0, None, None, 2010-10-06 00:00:00, 8.4, 14.6, None
2.6, None, None, 2010-10-07 00:00:00, 9.0, 14.0, None
46.6, None, None, 2010-10-08 00:00:00, 12.4, 13.0, None
32.2, None, None, 2010-10-09 00:00:00, 12.6, 14.7, None
0.2, None, None, 2010-10-10 00:00:00, 8.3, 14.6, None
21.2, None, None, 2010-10-11 00:00:00, 7.5, 13.8, None
2.4, None, None, 2010-10-12 00:00:00, 11.4, 12.6, None
10.6, None, None, 2010-10-13 00:00:00, 8.4, 14.6, None
2.8, None, None, 2010-10-14 00:00:00, 6.9, 13.1, None
0.6, None, None, 2010-10-15 00:00:00, 4.7, 11.8, None
0.2, None, None, 2010-10-16 00:00:00, 3.7, 12.5, None
0.0, None, None, 2010-10-17 00:00:00, 4.3, 12.5, None
20.6, None, None, 2010-10-18 00:00:00, 9.0, 11.0, None
0.6, None, None, 2010-10-19 00:00:00, 10.0, 13.5, None
0.2, None, None, 2010-10-20 00:00:00, 6.7, 13.7, None
4.6, None, None, 2010-10-21 00:00:00, 6.0, 12.4, None
9.2, None, None, 2010-10-22 00:00:00, 10.4, 13.2, None
20.6, None, None, 2010-10-23 00:00:00, 9.6, 13.7, None
37.8, None, None, 2010-10-24 00:00:00, 9.1, 11.6, None
35.6, None, None, 2010-10-25 00:00:00, 9.8, 11.7, None
3.8, None, None, 2010-10-26 00:00:00, 8.2, 11.8, None
0.0, None, None, 2010-10-27 00:00:00, 7.1, 12.8, None
19.4, None, None, 2010-10-28 00:00:00, 8.2, 12.0, None
5.2, None, None, 2010-10-29 00:00:00, 9.9, 12.4, None
59.8, None, None, 2010-10-30 00:00:00, 8.2, 11.6, None
32.8, None, None, 2010-10-31 00:00:00, 4.5, 10.9, None
32.4, None, None, 2010-11-01 00:00:00, 8.7, 13.5, None
0.2, None, None, 2010-11-02 00:00:00, 8.6, 14.0, None
0.0, None, None, 2010-11-03 00:00:00, 7.6, 14.9, None
22.6, None, None, 2010-11-04 00:00:00, 8.6, 12.7, None
0.0, None, None, 2010-11-05 00:00:00, 5.5, 11.5, None
18.0, None, None, 2010-11-06 00:00:00, 7.0, 10.4, None
6.2, None, None, 2010-11-07 00:00:00, 5.2, 10.4, None
6.8, None, None, 2010-11-08 00:00:00, 3.1, 7.3, None
11.4, None, None, 2010-11-09 00:00:00, 5.3, 8.2, None
0.2, None, None, 2010-11-10 00:00:00, 2.9, 10.0, None
24.0, None, None, 2010-11-11 00:00:00, 5.7, 10.8, None
2.6, None, None, 2010-11-12 00:00:00, 4.2, 9.9, None
21.4, None, None, 2010-11-13 00:00:00, 8.6, 9.8, None
3.2, None, None, 2010-11-14 00:00:00, 9.4, 11.4, None
25.2, None, None, 2010-11-15 00:00:00, 8.3, 11.2, None
2.8, None, None, 2010-11-16 00:00:00, 6.7, 10.3, None
28.8, None, None, 2010-11-17 00:00:00, 1.5, 9.5, None
4.6, None, None, 2010-11-18 00:00:00, 1.2, 5.2, None
5.8, None, None, 2010-11-19 00:00:00, 2.3, 5.7, None
1.4, None, None, 2010-11-20 00:00:00, 0.3, 5.0, None
None, None, None, 2010-11-21 00:00:00, -1.4, 5.6, None
None, None, None, 2010-11-22 00:00:00, -6.4, -0.1, None
None, None, None, 2010-11-23 00:00:00, -6.5, 0.2, None
None, None, None, 2010-11-24 00:00:00, -2.3, 2.4, None
29.0, None, None, 2010-11-25 00:00:00, 2.0, 9.1, None
20.8, None, None, 2010-11-26 00:00:00, 3.6, 9.1, None
7.4, None, None, 2010-11-27 00:00:00, 1.6, 6.2, None
None, None, None, 2010-11-28 00:00:00, -0.5, 5.6, None
80.2, None, None, 2010-11-29 00:00:00, 3.1, 8.0, None
15.4, None, None, 2010-11-30 00:00:00, 4.7, 9.4, None
12.8, None, None, 2010-12-01 00:00:00, 4.5, 6.1, None
13.6, None, None, 2010-12-02 00:00:00, 1.2, 6.1, None
0.2, None, None, 2010-12-03 00:00:00, 0.4, 4.6, None
None, None, None, 2010-12-04 00:00:00, -0.9, 5.4, None
None, None, None, 2010-12-05 00:00:00, -0.3, 9.6, None
7.2, None, None, 2010-12-06 00:00:00, 3.4, 9.7, None
47.4, None, None, 2010-12-07 00:00:00, 9.2, 9.8, None
10.8, None, None, 2010-12-08 00:00:00, 6.8, 9.8, None
6.2, None, None, 2010-12-09 00:00:00, 5.3, 9.9, None
16.2, None, None, 2010-12-10 00:00:00, 4.4, 8.4, None
13.2, None, None, 2010-12-11 00:00:00, 5.7, 8.1, None
16.6, None, None, 2010-12-12 00:00:00, 7.8, 10.3, None
14.8, None, None, 2010-12-13 00:00:00, 6.2, 9.6, None
8.0, None, None, 2010-12-14 00:00:00, 4.4, 8.0, None
15.4, None, None, 2010-12-15 00:00:00, 2.9, 5.7, None
22.4, None, None, 2010-12-16 00:00:00, 4.0, 6.0, None
9.8, None, None, 2010-12-17 00:00:00, 4.7, 8.0, None
14.8, None, None, 2010-12-18 00:00:00, 3.4, 8.3, None
14.2, None, None, 2010-12-19 00:00:00, 0.9, 5.7, None
12.2, None, None, 2010-12-20 00:00:00, 0.9, 5.8, None
45.8, None, None, 2010-12-21 00:00:00, 4.1, 7.5, None
44.6, None, None, 2010-12-22 00:00:00, 4.8, 7.4, None
47.8, None, None, 2010-12-23 00:00:00, 5.1, 9.7, None
34.0, None, None, 2010-12-24 00:00:00, 6.4, 9.6, None
18.4, None, None, 2010-12-25 00:00:00, 4.8, 7.2, None
23.0, None, None, 2010-12-26 00:00:00, 4.2, 6.5, None
4.2, None, None, 2010-12-27 00:00:00, 3.8, 7.0, None
2.4, None, None, 2010-12-28 00:00:00, 1.0, 5.1, None
None, None, None, 2010-12-29 00:00:00, -0.9, 5.0, None
None, None, None, 2010-12-30 00:00:00, -2.3, 4.0, None
None, None, None, 2010-12-31 00:00:00, -1.4, 4.1, None
None, None, None, 2011-01-01 00:00:00, -2.4, 5.1, None
None, None, None, 2011-01-02 00:00:00, -1.5, 5.7, None
None, None, None, 2011-01-03 00:00:00, -1.8, 4.6, None
8.4, None, None, 2011-01-04 00:00:00, 2.3, 6.2, None
28.6, None, None, 2011-01-05 00:00:00, 6.1, 8.7, None
30.8, None, None, 2011-01-06 00:00:00, 4.3, 9.1, None
10.2, None, None, 2011-01-07 00:00:00, 4.2, 9.2, None
0.2, None, None, 2011-01-08 00:00:00, -0.1, 5.9, None
None, None, None, 2011-01-09 00:00:00, -1.4, 5.6, None
None, None, None, 2011-01-10 00:00:00, -1.6, 4.7, None
10.2, None, None, 2011-01-11 00:00:00, 1.4, 4.8, None
10.4, None, None, 2011-01-12 00:00:00, 2.8, 7.8, None
7.8, None, None, 2011-01-13 00:00:00, 3.7, 8.6, None
30.4, None, None, 2011-01-14 00:00:00, 6.1, 9.4, None
14.2, None, None, 2011-01-15 00:00:00, 7.4, 9.0, None
31.6, None, None, 2011-01-16 00:00:00, 8.2, 9.3, None
5.6, None, None, 2011-01-17 00:00:00, 3.5, 8.2, None
0.0, None, None, 2011-01-18 00:00:00, 1.3, 7.7, None
None, None, None, 2011-01-19 00:00:00, -0.7, 5.2, None
34.0, None, None, 2011-01-20 00:00:00, 4.1, 7.1, None
16.2, None, None, 2011-01-21 00:00:00, 6.7, 8.4, None
6.0, None, None, 2011-01-22 00:00:00, 3.6, 6.9, None
17.6, None, None, 2011-01-23 00:00:00, 5.3, 7.8, None
23.0, None, None, 2011-01-24 00:00:00, 7.5, 8.2, None
13.4, None, None, 2011-01-25 00:00:00, 7.4, 8.0, None
28.0, None, None, 2011-01-26 00:00:00, 7.3, 7.8, None
None, None, None, 2011-01-27 00:00:00, 6.7, 9.0, None
6.8, None, None, 2011-01-28 00:00:00, 6.2, 9.0, None
3.0, None, None, 2011-01-29 00:00:00, 5.5, 8.3, None
4.2, None, None, 2011-01-30 00:00:00, 5.1, 6.9, None
0.6, None, None, 2011-01-31 00:00:00, 3.7, 6.2, None
0.4, None, None, 2011-02-01 00:00:00, 4.0, 6.6, None
4.6, None, None, 2011-02-02 00:00:00, 4.8, 7.1, None
73.4, None, None, 2011-02-03 00:00:00, 4.8, 8.3, None
20.0, None, None, 2011-02-04 00:00:00, 6.6, 9.1, None
2.4, None, None, 2011-02-05 00:00:00, 4.2, 7.7, None
21.2, None, None, 2011-02-06 00:00:00, 5.6, 8.6, None
1.0, None, None, 2011-02-07 00:00:00, 3.0, 8.5, None
0.0, None, None, 2011-02-08 00:00:00, 0.6, 7.6, None
0.0, None, None, 2011-02-09 00:00:00, -0.2, 6.3, None
0.0, None, None, 2011-02-10 00:00:00, 1.8, 6.0, None
31.4, None, None, 2011-02-11 00:00:00, 3.7, 6.9, None
39.4, None, None, 2011-02-12 00:00:00, 5.5, 8.9, None
