station_observations
time, MAX_TEMP, MIN_TEMP
2010-01-02 00:00:00, 2.3, 0.1
2010-01-03 00:00:00, 5.0, -0.5
2010-01-04 00:00:00, 2.8, -0.7
2010-01-05 00:00:00, 4.1, -5.4
2010-01-06 00:00:00, -0.6, -8.2
2010-01-07 00:00:00, -0.4, -8.8
2010-01-08 00:00:00, 2.0, -0.5
2010-01-09 00:00:00, 5.1, 0.4
2010-01-10 00:00:00, 4.6, 0.8
2010-01-11 00:00:00, 4.5, 1.1
2010-01-13 00:00:00, 2.6, -0.1
2010-01-14 00:00:00, 3.1, -0.2
2010-01-15 00:00:00, 2.7, -1.1
2010-01-16 00:00:00, 3.3, -5.8
2010-01-17 00:00:00, 2.8, -2.9
2010-01-18 00:00:00, 3.8, -1.4
2010-01-19 00:00:00, 5.8, -1.9
2010-01-20 00:00:00, 4.0, -0.8
2010-01-21 00:00:00, 4.6, -0.4
2010-01-22 00:00:00, 8.7, -2.8
2010-01-23 00:00:00, 6.4, -5.6
2010-01-24 00:00:00, 0.6, -5.5
2010-01-25 00:00:00, 1.2, -2.3
2010-01-26 00:00:00, 8.8, -1.7
2010-01-27 00:00:00, 5.6, -3.9
2010-01-28 00:00:00, 3.3, -1.7
2010-01-29 00:00:00, 5.7, -0.9
2010-02-06 00:00:00, 8.1, -3.7
2010-02-07 00:00:00, 4.9, -0.3
2010-02-08 00:00:00, 5.4, -1.7
2010-02-09 00:00:00, 7.7, -5.2
2010-02-10 00:00:00, 2.1, -1.6
2010-02-11 00:00:00, 2.3, -0.1
2010-02-12 00:00:00, 7.0, 0.0
2010-02-13 00:00:00, 5.3, 0.0
2010-02-14 00:00:00, 6.6, -2.1
2010-02-15 00:00:00, 4.6, -4.5
2010-02-16 00:00:00, 5.1, -0.1
2010-02-17 00:00:00, 9.2, -3.2
2010-02-18 00:00:00, 12.1, -5.6
2010-02-19 00:00:00, 13.0, -3.8
2010-02-20 00:00:00, 13.1, -3.5
2010-02-21 00:00:00, 11.1, -4.2
2010-02-22 00:00:00, 11.4, -4.4
2010-02-23 00:00:00, 4.5, -2.7
2010-02-24 00:00:00, 3.5, -0.2
2010-02-25 00:00:00, 4.8, -0.6
2010-02-26 00:00:00, 2.4, -0.4
2010-02-27 00:00:00, 6.0, 0.0
2010-02-28 00:00:00, 7.1, -0.7
2010-03-01 00:00:00, 10.7, -0.8
2010-03-02 00:00:00, 4.8, 0.2
2010-03-03 00:00:00, 10.7, -1.3
2010-03-04 00:00:00, 8.5, -1.3
2010-03-05 00:00:00, 10.4, -2.2
2010-03-06 00:00:00, 12.4, -3.8
2010-03-07 00:00:00, 4.2, -2.5
2010-03-08 00:00:00, 5.5, -6.8
2010-03-09 00:00:00, 0.5, -9.4
2010-03-10 00:00:00, 2.7, -3.7
2010-03-11 00:00:00, 3.4, -2.1
2010-03-12 00:00:00, 2.9, -3.7
2010-03-13 00:00:00, 3.2, -4.7
2010-03-14 00:00:00, 5.0, -2.8
2010-03-15 00:00:00, 9.2, -0.1
