station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
23.0, 23.0, 0.0, 2010-11-26 00:00:00, 2.4, 5.7, 0.0
2.6, 2.6, 0.0, 2010-11-27 00:00:00, 1.2, 6.6, 0.0
2.0, 2.0, 0.0, 2010-11-28 00:00:00, -1.1, 7.4, 0.0
75.2, 75.2, 0.0, 2010-11-29 00:00:00, -0.1, 8.6, 0.0
8.0, 8.0, 0.0, 2010-11-30 00:00:00, 6.0, 9.0, 0.0
17.6, 17.6, 0.0, 2010-12-01 00:00:00, 3.5, 6.3, 0.0
1.8, 1.8, 0.0, 2010-12-02 00:00:00, 4.0, 6.4, 0.0
0.0, 0.0, 0.0, 2010-12-03 00:00:00, 0.0, 6.4, 0.0
0.2, 0.2, 0.0, 2010-12-04 00:00:00, -1.8, 8.9, 0.0
0.6, 0.6, 0.0, 2010-12-05 00:00:00, -0.9, 8.5, 0.0
28.2, 28.2, 0.0, 2010-12-06 00:00:00, 3.0, 10.3, 0.0
40.4, 40.4, 0.0, 2010-12-07 00:00:00, 9.0, 10.7, 0.0
7.4, 7.4, 0.0, 2010-12-08 00:00:00, 7.4, 10.4, 0.0
8.0, 8.0, 0.0, 2010-12-09 00:00:00, 6.4, 10.6, 0.0
7.0, 7.0, 0.0, 2010-12-10 00:00:00, 4.0, 9.5, 0.0
48.4, 48.4, 0.0, 2010-12-11 00:00:00, 5.4, 10.3, 0.0
2.2, 2.2, 0.0, 2010-12-12 00:00:00, 6.1, 10.6, 0.0
20.0, 20.0, 0.0, 2010-12-13 00:00:00, 5.9, 9.5, 0.0
13.0, 13.0, 0.0, 2010-12-14 00:00:00, 4.4, 7.2, 0.0
24.8, 24.8, 0.0, 2010-12-15 00:00:00, 2.1, 4.2, 0.0
13.2, 13.2, 0.0, 2010-12-16 00:00:00, 2.8, 5.6, 0.0
0.4, 0.4, 0.0, 2010-12-17 00:00:00, 4.9, 7.0, 0.0
20.6, 20.6, 0.0, 2010-12-18 00:00:00, 3.0, 6.7, 0.0
3.4, 3.4, 0.0, 2010-12-19 00:00:00, 2.0, 6.1, 0.0
51.0, 51.0, 0.0, 2010-12-20 00:00:00, 1.3, 6.3, 0.0
36.6, 36.6, 0.0, 2010-12-21 00:00:00, 3.3, 6.8, 0.0
59.0, 59.0, 0.0, 2010-12-22 00:00:00, 4.8, 7.9, 0.0
57.8, 57.8, 0.0, 2010-12-23 00:00:00, 5.3, 9.3, 0.0
24.2, 24.2, 0.0, 2010-12-24 00:00:00, 8.4, 9.4, 0.0
45.8, 45.8, 0.0, 2010-12-25 00:00:00, 4.9, 9.2, 0.0
17.6, 17.6, 0.0, 2010-12-26 00:00:00, 4.5, 7.3, 0.0
11.8, 11.8, 0.0, 2010-12-27 00:00:00, 2.5, 6.7, 0.0
0.0, 0.0, 0.0, 2010-12-28 00:00:00, 1.0, 5.8, 0.0
0.0, 0.0, 0.0, 2010-12-29 00:00:00, -0.6, 5.5, 0.0
0.0, 0.0, 0.0, 2010-12-30 00:00:00, -3.8, 4.4, 0.0
0.0, 0.0, 0.0, 2010-12-31 00:00:00, -3.7, 3.6, 0.0
0.0, 0.0, 0.0, 2011-01-01 00:00:00, -4.9, 4.8, 0.0
0.0, 0.0, 0.0, 2011-01-02 00:00:00, -4.0, 5.3, 0.0
0.2, 0.2, 0.0, 2011-01-03 00:00:00, -2.9, 5.7, 0.0
16.6, 16.6, 0.0, 2011-01-04 00:00:00, -0.5, 5.6, 0.0
37.8, 37.8, 0.0, 2011-01-05 00:00:00, 3.5, 9.1, 0.0
46.2, 46.2, 0.0, 2011-01-06 00:00:00, 4.4, 9.0, 0.0
1.0, 1.0, 0.0, 2011-01-07 00:00:00, 4.0, 7.5, 0.0
0.0, 0.0, 0.0, 2011-01-08 00:00:00, -1.0, 6.6, 0.0
0.0, 0.0, 0.0, 2011-01-09 00:00:00, -2.8, 5.9, 0.0
0.0, 0.0, 0.0, 2011-01-10 00:00:00, -2.6, 3.4, 0.0
17.2, 17.2, 0.0, 2011-01-11 00:00:00, 0.7, 7.9, 0.0
12.2, 12.2, 0.0, 2011-01-12 00:00:00, 0.5, 7.7, 0.0
30.6, 30.6, 0.0, 2011-01-13 00:00:00, 3.3, 8.5, 0.0
24.0, 24.0, 0.0, 2011-01-14 00:00:00, 6.5, 9.9, 0.0
54.6, 54.6, 0.0, 2011-01-15 00:00:00, 7.7, 9.5, 0.0
33.6, 33.6, 0.0, 2011-01-16 00:00:00, 7.6, 9.9, 0.0
0.0, 0.0, 0.0, 2011-01-17 00:00:00, 6.5, 9.1, 0.0
1.0, 1.0, 0.0, 2011-01-18 00:00:00, 2.9, 6.6, 0.0
15.0, 15.0, 0.0, 2011-01-19 00:00:00, -1.4, 5.5, 0.0
28.8, 28.8, 0.0, 2011-01-20 00:00:00, 3.2, 6.9, 0.0
4.4, 4.4, 0.0, 2011-01-21 00:00:00, 6.0, 10.1, 0.0
6.2, 6.2, 0.0, 2011-01-22 00:00:00, 1.0, 6.7, 0.0
28.0, 28.0, 0.0, 2011-01-23 00:00:00, 5.0, 8.0, 0.0
15.8, 15.8, 0.0, 2011-01-24 00:00:00, 7.0, 7.9, 0.0
18.4, 18.4, 0.0, 2011-01-25 00:00:00, 6.9, 8.2, 0.0
1.0, 1.0, 0.0, 2011-01-26 00:00:00, 7.1, 8.2, 0.0
5.0, 5.0, 0.0, 2011-01-27 00:00:00, 5.6, 9.4, 0.0
24.0, 24.0, 0.0, 2011-01-28 00:00:00, 4.2, 8.3, 0.0
1.6, 1.6, 0.0, 2011-01-29 00:00:00, 6.5, 8.7, 0.0
0.2, 0.2, 0.0, 2011-01-30 00:00:00, 4.7, 7.4, 0.0
0.0, 0.0, 0.0, 2011-01-31 00:00:00, 0.9, 6.4, 0.0
0.2, 0.2, 0.0, 2011-02-01 00:00:00, 1.8, 6.7, 0.0
21.4, 21.4, 0.0, 2011-02-02 00:00:00, 3.3, 7.1, 0.0
74.6, 74.6, 0.0, 2011-02-03 00:00:00, 5.8, 8.7, 0.0
0.8, 0.8, 0.0, 2011-02-04 00:00:00, 7.9, 9.3, 0.0
4.6, 4.6, 0.0, 2011-02-05 00:00:00, 3.9, 7.9, 0.0
21.0, 21.0, 0.0, 2011-02-06 00:00:00, 5.4, 8.2, 0.0
0.0, 0.0, 0.0, 2011-02-07 00:00:00, 4.9, 9.4, 0.0
0.0, 0.0, 0.0, 2011-02-08 00:00:00, -1.2, 8.0, 0.0
0.0, 0.0, 0.0, 2011-02-09 00:00:00, -1.0, 5.8, 0.0
0.4, 0.4, 0.0, 2011-02-10 00:00:00, 2.0, 6.4, 0.0
69.2, 69.2, 0.0, 2011-02-11 00:00:00, 3.2, 8.1, 0.0
26.6, 26.6, 0.0, 2011-02-12 00:00:00, 5.4, 8.9, 0.0
18.1, 18.1, 0.0, 2011-02-13 00:00:00, 3.5, 8.7, 0.0
29.8, 29.8, 0.0, 2011-02-14 00:00:00, 4.7, 9.1, 0.0
31.2, 31.2, 0.0, 2011-02-15 00:00:00, 2.4, 4.0, 0.0
7.0, 7.0, 0.0, 2011-02-16 00:00:00, 1.7, 7.2, 0.0
15.2, 0.6, 14.6, 2011-02-17 00:00:00, -0.4, 4.3, 0.0
2.0, 0.0, 2.0, 2011-02-18 00:00:00, 0.3, 6.7, 4.0
0.0, 0.0, 0.0, 2011-02-19 00:00:00, -2.0, 7.9, 2.0
3.6, 3.6, 0.0, 2011-02-20 00:00:00, -2.0, 5.9, 0.0
1.2, 1.2, 0.0, 2011-02-21 00:00:00, 1.5, 6.1, 0.0
2.8, 0.0, 2.8, 2011-02-22 00:00:00, 0.6, 6.5, 0.0
0.2, 0.0, 0.2, 2011-02-23 00:00:00, -2.2, 4.4, 3.0
0.0, 0.0, 0.0, 2011-02-24 00:00:00, -2.5, 2.1, 0.0
0.0, 0.0, 0.0, 2011-02-25 00:00:00, -5.5, 3.4, 0.0
4.0, 4.0, 0.0, 2011-02-26 00:00:00, -2.6, 3.3, 0.0
5.2, 5.2, 0.0, 2011-02-27 00:00:00, 0.8, 6.0, 0.0
12.2, 2.2, 10.0, 2011-02-28 00:00:00, -0.5, 5.0, 0.0
25.6, 25.2, 0.4, 2011-03-01 00:00:00, 0.0, 7.5, 3.0
11.2, 11.2, 0.0, 2011-03-02 00:00:00, 2.4, 8.0, 0.0
4.0, 4.0, 0.0, 2011-03-03 00:00:00, 0.8, 5.2, 0.0
19.8, 19.8, 0.0, 2011-03-04 00:00:00, 1.4, 5.9, 0.0
1.0, 1.0, 0.0, 2011-03-05 00:00:00, 0.6, 7.8, 0.0
0.0, 0.0, 0.0, 2011-03-06 00:00:00, -1.5, 7.0, 0.0
14.2, 14.2, 0.0, 2011-03-07 00:00:00, -0.4, 7.9, 0.0
16.8, 16.8, 0.0, 2011-03-08 00:00:00, 2.6, 9.3, 0.0
10.6, 10.6, 0.0, 2011-03-09 00:00:00, 4.6, 9.5, 0.0
30.4, 30.4, 0.0, 2011-03-10 00:00:00, 4.8, 7.5, 0.0
23.0, 23.0, 0.0, 2011-03-11 00:00:00, 3.6, 8.4, 0.0
10.0, 10.0, 0.0, 2011-03-12 00:00:00, 6.0, 10.0, 0.0
33.6, 33.6, 0.0, 2011-03-13 00:00:00, 5.5, 9.5, 0.0
37.0, 37.0, 0.0, 2011-03-14 00:00:00, 6.3, 10.5, 0.0
14.6, 14.6, 0.0, 2011-03-15 00:00:00, 5.0, 9.9, 0.0
9.2, 9.2, 0.0, 2011-03-16 00:00:00, 3.0, 8.1, 0.0
5.2, 5.2, 0.0, 2011-03-17 00:00:00, 0.7, 7.4, 0.0
8.8, 8.8, 0.0, 2011-03-18 00:00:00, 4.3, 9.7, 0.0
7.6, 7.6, 0.0, 2011-03-19 00:00:00, 3.2, 9.8, 0.0
0.0, 0.0, 0.0, 2011-03-20 00:00:00, -0.3, 12.9, 0.0
3.2, 3.2, 0.0, 2011-03-21 00:00:00, 3.1, 10.5, 0.0
5.8, 5.8, 0.0, 2011-03-22 00:00:00, 3.0, 9.0, 0.0
0.0, 0.0, 0.0, 2011-03-23 00:00:00, 3.0, 14.6, 0.0
0.8, 0.8, 0.0, 2011-03-24 00:00:00, 5.1, 12.9, 0.0
5.8, 5.8, 0.0, 2011-03-25 00:00:00, 5.9, 9.5, 0.0
9.4, 9.4, 0.0, 2011-03-26 00:00:00, 3.5, 10.4, 0.0
3.0, 3.0, 0.0, 2011-03-27 00:00:00, 4.4, 12.1, 0.0
28.2, 28.2, 0.0, 2011-03-28 00:00:00, 5.7, 9.4, 0.0
49.6, 49.6, 0.0, 2011-03-29 00:00:00, 4.3, 8.6, 0.0
31.0, 31.0, 0.0, 2011-03-30 00:00:00, 6.2, 9.7, 0.0
1.8, 1.8, 0.0, 2011-03-31 00:00:00, 7.6, 10.5, 0.0
1.8, 1.8, 0.0, 2011-04-01 00:00:00, 5.5, 8.9, 0.0
0.0, 0.0, 0.0, 2011-04-02 00:00:00, 4.9, 10.6, 0.0
49.4, 49.4, 0.0, 2011-04-03 00:00:00, 2.1, 8.0, 0.0
16.6, 16.6, 0.0, 2011-04-04 00:00:00, 4.2, 8.8, 0.0
18.4, 18.2, 0.2, 2011-04-05 00:00:00, 2.9, 8.3, 0.0
0.2, 0.2, 0.0, 2011-04-06 00:00:00, 0.8, 8.4, 0.0
0.0, 0.0, 0.0, 2011-04-07 00:00:00, -0.5, 11.1, 0.0
0.0, 0.0, 0.0, 2011-04-08 00:00:00, -0.7, 10.6, 0.0
23.2, 23.2, 0.0, 2011-04-09 00:00:00, 4.6, 8.6, 0.0
23.2, 23.2, 0.0, 2011-04-10 00:00:00, 6.9, 9.0, 0.0
8.0, 8.0, 0.0, 2011-04-11 00:00:00, 2.4, 9.9, 0.0
24.4, 24.4, 0.0, 2011-04-12 00:00:00, 3.1, 7.5, 0.0
9.4, 8.4, 1.0, 2011-04-13 00:00:00, 1.8, 9.7, 0.0
9.0, 9.0, 0.0, 2011-04-14 00:00:00, 1.4, 4.9, 0.0
1.0, 1.0, 0.0, 2011-04-15 00:00:00, 0.0, 10.1, 0.0
0.0, 0.0, 0.0, 2011-04-16 00:00:00, 2.3, 8.9, 0.0
0.0, 0.0, 0.0, 2011-04-17 00:00:00, -1.1, 9.3, 0.0
0.0, 0.0, 0.0, 2011-04-18 00:00:00, -0.7, 11.6, 0.0
0.0, 0.0, 0.0, 2011-04-19 00:00:00, -0.3, 10.4, 0.0
0.0, 0.0, 0.0, 2011-04-20 00:00:00, 1.0, 9.3, 0.0
0.0, 0.0, 0.0, 2011-04-21 00:00:00, -1.3, 10.9, 0.0
0.0, 0.0, 0.0, 2011-04-22 00:00:00, 1.0, 11.5, 0.0
4.4, 4.4, 0.0, 2011-04-23 00:00:00, 0.6, 14.3, 0.0
16.2, 16.2, 0.0, 2011-04-24 00:00:00, 6.5, 11.0, 0.0
2.2, 2.2, 0.0, 2011-04-25 00:00:00, 5.9, 10.0, 0.0
3.4, 3.4, 0.0, 2011-04-26 00:00:00, 5.6, 11.4, 0.0
23.6, 23.6, 0.0, 2011-04-27 00:00:00, 3.6, 9.2, 0.0
3.0, 3.0, 0.0, 2011-04-28 00:00:00, 3.3, 9.5, 0.0
0.0, 0.0, 0.0, 2011-04-29 00:00:00, 1.6, 12.4, 0.0
0.0, 0.0, 0.0, 2011-04-30 00:00:00, 2.5, 12.2, 0.0
10.8, 10.8, 0.0, 2011-05-01 00:00:00, 2.1, 10.7, 0.0
10.0, 10.0, 0.0, 2011-05-02 00:00:00, 4.8, 10.7, 0.0
0.0, 0.0, 0.0, 2011-05-03 00:00:00, 5.2, 11.3, 0.0
2.4, 2.4, 0.0, 2011-05-04 00:00:00, 3.2, 10.9, 0.0
2.8, 2.8, 0.0, 2011-05-05 00:00:00, 6.0, 11.3, 0.0
29.0, 29.0, 0.0, 2011-05-06 00:00:00, 6.7, 9.2, 0.0
1.0, 1.0, 0.0, 2011-05-07 00:00:00, 6.5, 10.2, 0.0
0.0, 0.0, 0.0, 2011-05-08 00:00:00, 3.3, 12.8, 0.0
0.6, 0.6, 0.0, 2011-05-09 00:00:00, 5.1, 13.3, 0.0
52.0, 52.0, 0.0, 2011-05-10 00:00:00, 7.5, 9.0, 0.0
6.0, 6.0, 0.0, 2011-05-11 00:00:00, 6.2, 10.7, 0.0
23.2, 23.2, 0.0, 2011-05-12 00:00:00, 4.7, 10.6, 0.0
0.2, 0.2, 0.0, 2011-05-13 00:00:00, 5.5, 14.2, 0.0
6.8, 6.8, 0.0, 2011-05-14 00:00:00, 8.0, 16.0, 0.0
23.0, 23.0, 0.0, 2011-05-15 00:00:00, 9.6, 10.8, 0.0
1.4, 1.4, 0.0, 2011-05-16 00:00:00, 8.1, 11.8, 0.0
0.0, 0.0, 0.0, 2011-05-17 00:00:00, 4.4, 13.7, 0.0
0.0, 0.0, 0.0, 2011-05-18 00:00:00, 4.8, 16.4, 0.0
0.0, 0.0, 0.0, 2011-05-19 00:00:00, 4.4, 16.7, 0.0
0.0, 0.0, 0.0, 2011-05-20 00:00:00, 4.9, 15.1, 0.0
0.0, 0.0, 0.0, 2011-05-21 00:00:00, 9.0, 12.9, 0.0
0.0, 0.0, 0.0, 2011-05-22 00:00:00, 6.8, 11.7, 0.0
0.0, 0.0, 0.0, 2011-05-23 00:00:00, 6.3, 14.2, 0.0
0.4, 0.4, 0.0, 2011-05-24 00:00:00, 6.3, 14.6, 0.0
13.8, 13.8, 0.0, 2011-05-25 00:00:00, 8.9, 12.0, 0.0
4.8, 4.8, 0.0, 2011-05-26 00:00:00, 6.0, 13.3, 0.0
3.4, 3.4, 0.0, 2011-05-27 00:00:00, 7.5, 12.9, 0.0
0.0, 0.0, 0.0, 2011-05-28 00:00:00, 5.0, 15.7, 0.0
0.0, 0.0, 0.0, 2011-05-29 00:00:00, 6.0, 15.1, 0.0
0.0, 0.0, 0.0, 2011-05-30 00:00:00, 8.4, 14.8, 0.0
7.4, 7.4, 0.0, 2011-05-31 00:00:00, 6.3, 17.0, 0.0
1.0, 1.0, 0.0, 2011-06-01 00:00:00, 10.5, 14.4, 0.0
2.6, 2.6, 0.0, 2011-06-02 00:00:00, 9.7, 10.9, 0.0
0.0, 0.0, 0.0, 2011-06-03 00:00:00, 7.1, 17.4, 0.0
0.0, 0.0, 0.0, 2011-06-04 00:00:00, 8.0, 20.5, 0.0
0.0, 0.0, 0.0, 2011-06-05 00:00:00, 9.6, 20.0, 0.0
0.0, 0.0, 0.0, 2011-06-06 00:00:00, 10.1, 17.1, 0.0
0.0, 0.0, 0.0, 2011-06-07 00:00:00, 9.1, 18.1, 0.0
0.0, 0.0, 0.0, 2011-06-08 00:00:00, 10.0, 15.6, 0.0
0.0, 0.0, 0.0, 2011-06-09 00:00:00, 10.8, 13.3, 0.0
0.0, 0.0, 0.0, 2011-06-10 00:00:00, 10.5, 14.2, 0.0
0.0, 0.0, 0.0, 2011-06-11 00:00:00, 10.1, 16.0, 0.0
4.4, 4.4, 0.0, 2011-06-12 00:00:00, 7.0, 15.3, 0.0
2.0, 2.0, 0.0, 2011-06-13 00:00:00, 10.6, 14.1, 0.0
0.4, 0.4, 0.0, 2011-06-14 00:00:00, 9.3, 14.5, 0.0
0.0, 0.0, 0.0, 2011-06-15 00:00:00, 6.5, 17.7, 0.0
0.0, 0.0, 0.0, 2011-06-16 00:00:00, 7.8, 15.6, 0.0
3.8, 3.8, 0.0, 2011-06-17 00:00:00, 9.0, 13.8, 0.0
0.0, 0.0, 0.0, 2011-06-18 00:00:00, 10.5, 16.0, 0.0
0.0, 0.0, 0.0, 2011-06-19 00:00:00, 11.0, 14.4, 0.0
0.0, 0.0, 0.0, 2011-06-20 00:00:00, 10.0, 15.1, 0.0
0.2, 0.2, 0.0, 2011-06-21 00:00:00, 12.0, 17.9, 0.0
0.2, 0.2, 0.0, 2011-06-22 00:00:00, 10.2, 14.7, 0.0
2.8, 2.8, 0.0, 2011-06-23 00:00:00, 9.0, 14.5, 0.0
0.0, 0.0, 0.0, 2011-06-24 00:00:00, 8.2, 16.3, 0.0
0.0, 0.0, 0.0, 2011-06-25 00:00:00, 9.0, 16.7, 0.0
2.8, 2.8, 0.0, 2011-06-26 00:00:00, 7.4, 14.9, 0.0
7.7, 7.7, 0.0, 2011-06-27 00:00:00, 11.4, 18.3, 0.0
10.4, 10.4, 0.0, 2011-06-28 00:00:00, 13.4, 16.1, 0.0
2.2, 2.2, 0.0, 2011-06-29 00:00:00, 11.5, 14.8, 0.0
4.2, 4.2, 0.0, 2011-06-30 00:00:00, 9.0, 14.9, 0.0
0.2, 0.2, 0.0, 2011-07-01 00:00:00, 10.0, 14.6, 0.0
2.8, 2.8, 0.0, 2011-07-02 00:00:00, 9.7, 14.2, 0.0
0.0, 0.0, 0.0, 2011-07-03 00:00:00, 9.3, 16.5, 0.0
0.0, 0.0, 0.0, 2011-07-04 00:00:00, 6.7, 16.9, 0.0
0.0, 0.0, 0.0, 2011-07-05 00:00:00, 9.0, 20.2, 0.0
0.0, 0.0, 0.0, 2011-07-06 00:00:00, 11.8, 19.7, 0.0
0.0, 0.0, 0.0, 2011-07-07 00:00:00, 12.0, 15.7, 0.0
0.0, 0.0, 0.0, 2011-07-08 00:00:00, 10.4, 16.6, 0.0
0.0, 0.0, 0.0, 2011-07-09 00:00:00, 8.0, 17.4, 0.0
0.0, 0.0, 0.0, 2011-07-10 00:00:00, 11.3, 19.3, 0.0
0.0, 0.0, 0.0, 2011-07-11 00:00:00, 9.9, 18.2, 0.0
2.0, 2.0, 0.0, 2011-07-12 00:00:00, 9.0, 19.0, 0.0
7.8, 7.8, 0.0, 2011-07-13 00:00:00, 12.1, 14.0, 0.0
2.4, 2.4, 0.0, 2011-07-14 00:00:00, 12.6, 15.6, 0.0
25.4, 25.4, 0.0, 2011-07-15 00:00:00, 12.7, 14.5, 0.0
4.0, 4.0, 0.0, 2011-07-16 00:00:00, 13.5, 15.1, 0.0
0.0, 0.0, 0.0, 2011-07-17 00:00:00, 13.0, 18.1, 0.0
0.0, 0.0, 0.0, 2011-07-18 00:00:00, 12.7, 19.8, 0.0
1.2, 1.2, 0.0, 2011-07-19 00:00:00, 12.3, 18.0, 0.0
9.0, 9.0, 0.0, 2011-07-20 00:00:00, 13.2, 16.6, 0.0
0.0, 0.0, 0.0, 2011-07-21 00:00:00, 10.8, 17.0, 0.0
0.0, 0.0, 0.0, 2011-07-22 00:00:00, 10.0, 18.5, 0.0
0.0, 0.0, 0.0, 2011-07-23 00:00:00, 9.3, 19.6, 0.0
0.0, 0.0, 0.0, 2011-07-24 00:00:00, 10.5, 22.1, 0.0
0.0, 0.0, 0.0, 2011-07-25 00:00:00, 13.4, 18.8, 0.0
0.0, 0.0, 0.0, 2011-07-26 00:00:00, 12.7, 17.6, 0.0
0.0, 0.0, 0.0, 2011-07-27 00:00:00, 9.2, 18.5, 0.0
0.0, 0.0, 0.0, 2011-07-28 00:00:00, 11.6, 19.7, 0.0
0.0, 0.0, 0.0, 2011-07-29 00:00:00, 12.5, 20.3, 0.0
12.8, 12.8, 0.0, 2011-07-30 00:00:00, 10.5, 14.6, 0.0
0.0, 0.0, 0.0, 2011-07-31 00:00:00, 11.4, 17.7, 0.0
1.2, 1.2, 0.0, 2011-08-01 00:00:00, 7.9, 20.7, 0.0
2.6, 2.6, 0.0, 2011-08-02 00:00:00, 11.8, 17.4, 0.0
2.0, 2.0, 0.0, 2011-08-03 00:00:00, 13.5, 20.0, 0.0
0.4, 0.4, 0.0, 2011-08-04 00:00:00, 13.1, 19.2, 0.0
0.0, 0.0, 0.0, 2011-08-05 00:00:00, 13.5, 18.3, 0.0
0.0, 0.0, 0.0, 2011-08-06 00:00:00, 13.3, 18.7, 0.0
0.0, 0.0, 0.0, 2011-08-07 00:00:00, 11.0, 15.2, 0.0
0.0, 0.0, 0.0, 2011-08-08 00:00:00, 12.7, 15.2, 0.0
0.0, 0.0, 0.0, 2011-08-09 00:00:00, 12.1, 16.1, 0.0
0.0, 0.0, 0.0, 2011-08-10 00:00:00, 12.2, 16.1, 0.0
0.0, 0.0, 0.0, 2011-08-11 00:00:00, 12.2, 16.3, 0.0
0.0, 0.0, 0.0, 2011-08-12 00:00:00, 12.8, 17.3, 0.0
0.0, 0.0, 0.0, 2011-08-13 00:00:00, 11.3, 17.0, 0.0
2.6, 2.6, 0.0, 2011-08-14 00:00:00, 11.4, 16.1, 0.0
0.0, 0.0, 0.0, 2011-08-15 00:00:00, 11.3, 18.2, 0.0
0.0, 0.0, 0.0, 2011-08-16 00:00:00, 9.0, 19.5, 0.0
0.0, 0.0, 0.0, 2011-08-17 00:00:00, 8.3, 18.7, 0.0
0.0, 0.0, 0.0, 2011-08-18 00:00:00, 10.9, 17.2, 0.0
0.0, 0.0, 0.0, 2011-08-19 00:00:00, 10.1, 20.6, 0.0
0.0, 0.0, 0.0, 2011-08-20 00:00:00, 10.5, 24.5, 0.0
40.8, 40.8, 0.0, 2011-08-21 00:00:00, 13.8, 18.8, 0.0
10.8, 10.8, 0.0, 2011-08-22 00:00:00, 14.5, 18.5, 0.0
0.0, 0.0, 0.0, 2011-08-23 00:00:00, 13.3, 18.5, 0.0
0.0, 0.0, 0.0, 2011-08-24 00:00:00, 12.6, 24.0, 0.0
0.0, 0.0, 0.0, 2011-08-25 00:00:00, 12.2, 22.3, 0.0
0.0, 0.0, 0.0, 2011-08-26 00:00:00, 12.8, 22.2, 0.0
0.0, 0.0, 0.0, 2011-08-27 00:00:00, 12.1, 19.8, 0.0
0.2, 0.2, 0.0, 2011-08-28 00:00:00, 12.2, 15.6, 0.0
0.2, 0.2, 0.0, 2011-08-29 00:00:00, 12.0, 18.3, 0.0
0.0, 0.0, 0.0, 2011-08-30 00:00:00, 9.5, 18.8, 0.0
0.2, 0.2, 0.0, 2011-08-31 00:00:00, 9.1, 17.7, 0.0
1.4, 1.4, 0.0, 2011-09-01 00:00:00, 9.7, 14.2, 0.0
0.0, 0.0, 0.0, 2011-09-02 00:00:00, 9.9, 17.8, 0.0
0.0, 0.0, 0.0, 2011-09-03 00:00:00, 8.8, 21.4, 0.0
0.0, 0.0, 0.0, 2011-09-04 00:00:00, 9.8, 23.0, 0.0
0.0, 0.0, 0.0, 2011-09-05 00:00:00, 11.0, 19.7, 0.0
0.0, 0.0, 0.0, 2011-09-06 00:00:00, 10.0, 18.7, 0.0
0.0, 0.0, 0.0, 2011-09-07 00:00:00, 11.8, 23.5, 0.0
0.0, 0.0, 0.0, 2011-09-08 00:00:00, 10.9, 23.7, 0.0
0.0, 0.0, 0.0, 2011-09-09 00:00:00, 10.7, 21.9, 0.0
0.0, 0.0, 0.0, 2011-09-10 00:00:00, 11.5, 25.3, 0.0
0.0, 0.0, 0.0, 2011-09-11 00:00:00, 12.4, 27.5, 0.0
0.0, 0.0, 0.0, 2011-09-12 00:00:00, 11.8, 17.6, 0.0
0.0, 0.0, 0.0, 2011-09-13 00:00:00, 13.5, 17.2, 0.0
1.4, 1.4, 0.0, 2011-09-14 00:00:00, 12.2, 15.8, 0.0
1.6, 1.6, 0.0, 2011-09-15 00:00:00, 11.3, 16.4, 0.0
2.4, 2.4, 0.0, 2011-09-16 00:00:00, 6.6, 13.8, 0.0
15.0, 15.0, 0.0, 2011-09-17 00:00:00, 9.8, 14.8, 0.0
0.0, 0.0, 0.0, 2011-09-18 00:00:00, 11.2, 16.8, 0.0
0.0, 0.0, 0.0, 2011-09-19 00:00:00, 8.0, 16.0, 0.0
15.6, 15.6, 0.0, 2011-09-20 00:00:00, 8.0, 17.5, 0.0
91.4, 91.4, 0.0, 2011-09-21 00:00:00, 12.6, 15.1, 0.0
10.6, 10.6, 0.0, 2011-09-22 00:00:00, 12.7, 16.2, 0.0
25.6, 25.6, 0.0, 2011-09-23 00:00:00, 14.0, 16.0, 0.0
50.8, 50.8, 0.0, 2011-09-24 00:00:00, 12.5, 17.0, 0.0
17.6, 17.6, 0.0, 2011-09-25 00:00:00, 11.4, 15.2, 0.0
9.1, 9.1, 0.0, 2011-09-26 00:00:00, 10.3, 15.8, 0.0
6.8, 6.8, 0.0, 2011-09-27 00:00:00, 9.1, 15.2, 0.0
0.0, 0.0, 0.0, 2011-09-28 00:00:00, 6.7, 15.6, 0.0
0.2, 0.2, 0.0, 2011-09-29 00:00:00, 6.5, 17.2, 0.0
0.4, 0.4, 0.0, 2011-09-30 00:00:00, 10.4, 15.6, 0.0
0.0, 0.0, 0.0, 2011-10-01 00:00:00, 10.2, 14.9, 0.0
22.4, 22.4, 0.0, 2011-10-02 00:00:00, 4.3, 15.6, 0.0
37.0, 37.0, 0.0, 2011-10-03 00:00:00, 10.9, 15.6, 0.0
40.6, 40.6, 0.0, 2011-10-04 00:00:00, 9.7, 11.8, 0.0
0.0, 0.0, 0.0, 2011-10-05 00:00:00, 9.5, 15.1, 0.0
2.2, 2.2, 0.0, 2011-10-06 00:00:00, 7.4, 13.1, 0.0
0.0, 0.0, 0.0, 2011-10-07 00:00:00, 9.6, 15.7, 0.0
12.0, 12.0, 0.0, 2011-10-08 00:00:00, 8.2, 13.0, 0.0
5.4, 5.4, 0.0, 2011-10-09 00:00:00, 7.1, 14.2, 0.0
22.0, 22.0, 0.0, 2011-10-10 00:00:00, 8.2, 12.9, 0.0
15.4, 15.4, 0.0, 2011-10-11 00:00:00, 10.2, 14.6, 0.0
8.6, 8.6, 0.0, 2011-10-12 00:00:00, 6.8, 13.6, 0.0
0.0, 0.0, 0.0, 2011-10-13 00:00:00, 5.5, 13.4, 0.0
0.0, 0.0, 0.0, 2011-10-14 00:00:00, 4.8, 14.1, 0.0
